"","mgi_symbol","start_position","end_position","length"
"379","Slc25a3",91116574,91124059,7.485
"380","Slc30a1",191906767,191913247,6.48
"381","Slc39a3",81028538,81037426,8.888
"382","Slc41a1",131827493,131848865,21.372
"383","Slc4a3",75546266,75562172,15.906
"384","Slco5a1",12866549,12992650,126.101
"385","Smap1",23844846,23922317,77.471
"386","Smyd2",189880492,189922363,41.871
"387","Snhg6",9941959,9944118,2.159
"388","Snrpd3",75517551,75537381,19.83
"389","Snrpe",133603871,133610291,6.42
"390","Soat1",156424525,156474331,49.806
"391","Socs2",95385362,95417180,31.818
"392","Sox13",133382303,133424377,42.074
"393","Speg",75375297,75432320,57.023
"394","Srgap2",131285251,131527352,242.101
"395","Srp9",182124737,182132407,7.67
"396","Stat1",52119440,52161865,42.425
"397","Stat4",51987148,52107189,120.041
"398","Stk11",80115803,80130682,14.879
"399","Stk11ip",75521529,75537335,15.806
"400","Stk16",75210838,75215606,4.768
"401","Stk25",93619751,93658659,38.908
"402","Stk36",74601445,74636894,35.449
"403","Stx6",155158715,155208256,49.541
"404","Stx7",24149302,24190222,40.92
"405","Sumo1",59586558,59670834,84.276
"406","Syt1",108497650,109010982,513.332
"407","Tab2",7905653,7956230,50.577
"408","Tada1",166379097,166393621,14.524
"409","Tagln2",172500047,172507380,7.333
"410","Tbk1",121546455,121586787,40.332
"411","Tbxa2r",81328731,81335172,6.441
"412","Tcea1",4857814,4897909,40.095
"413","Tcf3",80409514,80433647,24.133
"414","Tdg",82629828,82650799,20.971
"415","Terf1",15805646,15844052,38.406
"416","Tfb2m",179528055,179546267,18.212
"417","Tgfb2",186622792,186705989,83.197
"418","Thap4",93701935,93754864,52.929
"419","Thop1",81070035,81082559,12.524
"420","Timm17a",135295213,135313778,18.565
"421","Tiprl",165212286,165236996,24.71
"422","Tmbim1",74288247,74305622,17.375
"423","Tmco1",167308378,167333978,25.6
"424","Tmeff2",50900647,51187270,286.623
"425","Tmem131",36792191,36943666,151.475
"426","Tmem183a",134346097,134361979,15.882
"427","Tmem37",120067377,120074074,6.697
"428","Tmem70",16665207,16678275,13.068
"429","Tnfaip3",19000910,19015657,14.747
"430","Tnfrsf11a",105780718,105847981,67.263
"431","Tnnt2",135836354,135852260,15.906
"432","Tor1aip2",156035403,156068861,33.458
"433","Tor3a",156653617,156674356,20.739
"434","Tpp2",43933647,44003000,69.353
"435","Tpr",150392838,150449935,57.097
"436","Traf3ip2",39612934,39655307,42.373
"437","Traf5",191997205,192092559,95.354
"438","Traf5",191997054,192044862,47.808
"439","Trak2",58900449,58973430,72.981
"440","Tram1",13564698,13589910,25.212
"441","Trip12",84721189,84840516,119.327
"442","Trove2",143750790,143777068,26.278
"443","Tsen15",152370735,152386688,15.953
"444","Tsn",118294778,118311739,16.961
"445","Tspyl1",34282190,34285275,3.085
"446","Tuba4a",75214228,75219865,5.637
"447","Twist2",91801461,91848028,46.567
"448","Txndc9",37985189,37997893,12.704
"449","Txnrd1",82833951,82897712,63.761
"450","Tysnd1",61695514,61702773,7.259
"451","Uap1",170141938,170174957,33.019
"452","Ube2f",91250304,91290337,40.033
"453","Ube2t",134962565,134974162,11.597
"454","Ube2w",16540790,16619489,78.699
"455","Ubxn4",128243964,128279378,35.414
"456","Uchl5",143777272,143807466,30.194
"457","Uck2",167222883,167285320,62.437
"458","Ufc1",171288563,171295024,6.461
"459","Uggt1",36140027,36244720,104.693
"460","Ugt1a1",88211959,88218997,7.038
"461","Ugt1a10",88055388,88219004,163.616
"462","Ugt1a2",88200601,88218997,18.396
"463","Ugt1a5",88166012,88218997,52.985
"464","Ugt1a6a",88134809,88218997,84.188
"465","Ugt1a6b",88103252,88219003,115.751
"466","Ugt1a7c",88095062,88220002,124.94
"467","Ugt1a9",88070800,88218997,148.197
"468","Uhmk1",170193420,170215397,21.977
"469","Unc50",37430139,37439124,8.985
"470","Usf1",171411313,171419142,7.829
"471","Usp21",171281945,171287991,6.046
"472","Uxs1",43746966,43827800,80.834
"473","Vamp4",162570515,162599084,28.569
"474","Vil1",74409376,74435559,26.183
"475","Vip",5639218,5647617,8.399
"476","Vps4b",106764071,106796728,32.657
"477","Vta1",14654755,14705560,50.805
"478","Wdr12",60069785,60098645,28.86
"479","Wdr26",181173228,181211552,38.324
"480","Wdr75",45795166,45823619,28.453
"481","Xpot",121587380,121626332,38.952
"482","Xpr1",155275701,155417415,141.714
"483","Xrcc5",72307421,72394952,87.531
"484","Zbed6",133655879,133660885,5.006
"485","Zbtb37",161002922,161034849,31.927
"486","Zc3h11a",133619862,133661380,41.518
"487","Zc3h11a",133619871,133661380,41.509
"488","Zfp281",136624901,136630053,5.152
"489","Zwint",72654845,72674964,20.119
"490","0610010K14Rik",70235206,70237914,2.708
"491","1700071K01Rik",81572655,81573473,0.818
"492","Abr",76416734,76622314,205.58
"493","Ace",105967945,105989964,22.019
"494","Actg1",120345690,120348542,2.852
"495","Actr2",20062304,20112913,50.609
"496","Actr6",89711971,89732295,20.324
"497","Acyp2",30505991,30649587,143.596
"498","Adam19",46055992,46147343,91.351
"499","Adarb1",77290726,77418270,127.544
"500","Adra1b",43774606,43901210,126.604
"501","Aebp1",5861947,5872088,10.141
"502","Agap2",127075284,127093169,17.885
"503","Ahi1",20952547,21080429,127.882
"504","Akap1",88830792,88864586,33.794
"505","Akap12",4266380,4359470,93.09
"506","Akap7",25169090,25307870,138.78
"507","Aldh3a2",61223417,61267464,44.047
"508","Aloxe3",69125896,69149115,23.219
"509","Amd1",40287458,40302186,14.728
"510","Amh",80805243,80807648,2.405
"511","Ankfy1",72690006,72772146,82.14
"512","Anxa6",54979108,55033445,54.337
"513","Aoc3",101330605,101341938,11.333
"514","Ap1b1",4986824,5042791,55.967
"515","Ap3d1",80706956,80742264,35.308
"516","Apaf1",90989311,91082770,93.459
"517","Apc2",80295977,80318263,22.286
"518","Arf1",59211412,59228270,16.858
"519","Arf2",103966739,103985337,18.598
"520","Arg1",24915221,24927484,12.263
"521","Arhgap9",127321964,127329943,7.979
"522","Arhgdia",120578104,120581624,3.52
"523","Arid3a",79927043,79955018,27.975
"524","Arl1",88730858,88744094,13.236
"525","Asb3",30885416,31102704,217.288
"526","Ascl1",87490819,87493660,2.841
"527","Asf1a",53596757,53609225,12.468
"528","Atg5",44268358,44364291,95.933
"529","Atp5d",80138632,80145818,7.186
"530","Atp5g1",96068852,96075670,6.818
"531","Atxn7l3b",112925430,112929001,3.571
"532","Aurkb",69045647,69051664,6.017
"533","Axin2",108920349,108950783,30.434
"534","B3gnt2",22759738,22860961,101.223
"535","B4galnt1",127165225,127172330,7.105
"536","Baiap2",119942763,120006782,64.019
"537","Baz2a",128091577,128129303,37.726
"538","Bcl6b",70224128,70229798,5.67
"539","Bclaf1",20312469,20344613,32.144
"540","Becn1",101285952,101302286,16.334
"541","Blmh",76924809,76987379,62.57
"542","Bloc1s1",128917882,128924035,6.153
"543","Brca1",101488764,101551955,63.191
"544","Bsg",79704491,79711969,7.478
"545","C1qtnf1",118428203,118449963,21.76
"546","Cand1",119199255,119240055,40.8
"547","Canx",50293961,50325673,31.712
"548","Casc3",98804905,98833814,28.909
"549","Cbr2",120729489,120732114,2.625
"550","Cbx1",96789127,96808640,19.513
"551","Ccdc47",106197408,106216344,18.936
"552","Ccdc6",70097121,70193200,96.079
"553","Ccdc88a",29373658,29510808,137.15
"554","Ccl9",83572919,83578636,5.717
"555","Cct2",117051001,117063814,12.813
"556","Cd164",41519414,41531048,11.634
"557","Cd24a",43578284,43584265,5.981
"558","Cd63",128900989,128912822,11.833
"559","Cdc34",79682195,79688398,6.203
"560","Cdk4",127063534,127067920,4.386
"561","Chmp6",119913441,119919548,6.107
"562","Chrnb1",69784036,69795943,11.907
"563","Cirbp",80165985,80172786,6.801
"564","Cisd1",71330480,71344954,14.474
"565","Ckap4",84526305,84534062,7.757
"566","Cnn2",79988584,79996062,7.478
"567","Cnot2",116485161,116581511,96.35
"568","Cnot8",58104153,58118594,14.441
"569","Cnpy2",128322459,128327553,5.094
"570","Cntrob",69299487,69323775,24.288
"571","Coasy",101082565,101086619,4.054
"572","Cog1",113649169,113667054,17.885
"573","Col10a1",34389981,34397085,7.104
"574","Col18a1",77052178,77166548,114.37
"575","Col6a1",76708792,76726168,17.376
"576","Commd1",22896136,22982382,86.246
"577","Cops3",59817795,59839838,22.043
"578","Copz2",96849870,96861203,11.333
"579","Coq10a",128363100,128368997,5.897
"580","Cradd",95174746,95324133,149.387
"581","Crk",75679259,75706908,27.649
"582","Cry1",85131700,85185064,53.364
"583","Cs",128337734,128362479,24.745
"584","Csnk1d",120961749,120991330,29.581
"585","Csnk1g2",80622838,80640749,17.911
"586","Csrp2",110919789,110939622,19.833
"587","Cstb",78425669,78427622,1.953
"588","Ctdsp2",126978717,126999975,21.258
"589","Ctgf",24595442,24598683,3.241
"590","Cyfip2",46193850,46312859,119.009
"591","Cyth1",118132019,118248592,116.573
"592","D10Wsu102e",83360221,83488505,128.284
"593","Dapk3",81183005,81193197,10.192
"594","Dazap1",80261486,80288408,26.922
"595","Dbnl",5788488,5800962,12.474
"596","Dcn",97479609,97518143,38.534
"597","Dctn2",127266368,127281950,15.582
"598","Ddit3",127290829,127293753,2.924
"599","Ddit3",127290774,127296288,5.514
"600","Ddit4",59949669,59951834,2.165
"601","Ddx21",62580251,62602281,22.03
"602","Ddx5",106780355,106789185,8.83
"603","Ddx50",62615895,62651218,35.323
"604","Ddx52",83942062,83963088,21.026
"605","Derl2",71007164,71019841,12.677
"606","Dgka",128720134,128744855,24.721
"607","Dhx40",86768846,86807746,38.9
"608","Dlg4",70016942,70047522,30.58
"609","Dnajc7",100582818,100620168,37.35
"610","Dohh",81384428,81388352,3.924
"611","Ebf1",44617317,45008091,390.774
"612","Eea1",95940650,96045518,104.868
"613","Eef2",81176631,81182498,5.867
"614","Efna2",80179482,80190010,10.528
"615","Eftud2",102838473,102880985,42.512
"616","Egfr",16752203,16918158,165.955
"617","Eif1",100319885,100322096,2.211
"618","Eif4a3",119288363,119300089,11.726
"619","Eif4enif1",3202392,3244588,42.196
"620","Eif5a",69916714,69921958,5.244
"621","Eno3",70657202,70662513,5.311
"622","Enpp1",24637914,24712159,74.245
"623","Epn2",61517249,61579687,62.438
"624","Etv4",101769742,101785371,15.629
"625","Ewsr1",5069689,5099266,29.577
"626","Exoc7",116288001,116307233,19.232
"627","Fabp7",57784881,57788450,3.569
"628","Fam114a2",57482993,57518617,35.624
"629","Fasn",120805846,120824547,18.701
"630","Fbxw11",32642724,32746816,104.092
"631","Fgf18",33117430,33147400,29.97
"632","Fignl1",11787431,11808962,21.531
"633","Fkbp10",100415697,100424824,9.127
"634","Flii",60714123,60727263,13.14
"635","Flt4",49609263,49652739,43.476
"636","Foxo3",42181841,42276755,94.914
"637","Frk",34483399,34611278,127.879
"638","Fxr2",69632990,69653297,20.307
"639","Fzd2",102604396,102608058,3.662
"640","G3bp1",55469685,55504838,35.153
"641","Gabarap",69991143,69994951,3.808
"642","Galk1",116008457,116012719,4.262
"643","Galnt10",57645442,57787514,142.072
"644","Galnt4",99108159,99113247,5.088
"645","Gamt",80258151,80261012,2.861
"646","Gemin5",58120002,58168539,48.537
"647","Gfpt2",49794178,49838613,44.435
"648","Ggt5",75589340,75617200,27.86
"649","Gja1",56377330,56402513,25.183
"650","Gjc1",102799579,102819700,20.121
"651","Gm5512",12905320,12906841,1.521
"652","Gm8580",93665383,93665846,0.463
"653","Gna11",81528724,81545190,16.466
"654","Gna15",81502306,81524225,21.919
"655","Gnaz",74967177,75016907,49.73
"656","Gnptab",88379132,88447329,68.197
"657","Gns",121365090,121397249,32.159
"658","Gosr2",103676849,103697898,21.049
"659","Gps1",120784272,120789102,4.83
"660","Gpx3",54902453,54910377,7.924
"661","Gpx4",80047166,80056439,9.273
"662","Gstt1",75783813,75798584,14.771
"663","Guk1",59183875,59192212,8.337
"664","Gzmm",79689020,79695261,6.241
"665","Hap1",100347327,100356128,8.801
"666","Hbs1l",21295979,21368898,72.919
"667","Hdac2",36974544,37001889,27.345
